,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
85,80727   ,EAGLE PLANT INLET - TGC DELIVERY - DCP OPERATING,Delivery Location,DPQ,221000,221000,221000,0,FLD     ,N,D,TX      ,JACKSON,"DCP Operating Company, LP",N,T,-238,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
86,80734   ,LAKE CHARLES INTERCONNECT - CENTERPOINT ENERGY RESOURCES,Delivery Location,DPQ,22000,22000,1,21999,FLD     ,N,D,LA      ,CALCASIEU,"CenterPoint Energy Resources Corp., DBA CenterPoint Energy Louisiana Gas",N,T,-23,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
87,80735   ,EAGLE PLANT RESIDUE - DCP OPERATING,Receipt Location,RPQ,192000,192000,1,191999,FLD     ,Y,R,TX      ,JACKSON,"DCP Operating Company, LP",Y,T,-239,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
88,80738   ,JIMMY DEAN PLANT,Delivery Location,DPQ,3000,3000,348,2652,Z1B     ,Y,D,TN      ,DYER,"D2 Energy, LLC",N,T,458,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
89,80743   ,KINDER SAND DRYING PLANT,Delivery Location,DPQ,1000,1000,99,901,FLD     ,N,D,LA      ,ALLEN,"MineralTech Gulfcoast Abrasives, LLC",N,T,-15,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
90,80744   ,KATY - HOUSTON PIPELINE DELIVERY,Delivery Location,DPQ,45000,45000,1,44999,FLD     ,N,D,TX      ,WALLER,Houston Pipe Line Company LP,Y,T,-171,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
91,81506   ,HARKINS-KOONTZ - CIMAREX ENERGY ,Receipt Location,RPQ,5175,5175,0,5175,FLD     ,N,R,TX      ,GOLIAD,Cimarex Energy Co.,N,T,-303,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
92,81514   ,SE AVERY ISLAND - TEXAS PETROLEUM,Receipt Location,RPQ,5000,5000,0,5000,FLD     ,N,R,LA      ,IBERIA,Texas Petroleum Investment Company,N,T,-107,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
93,81523   ,KATY - HOUSTON PIPELINE RECEIPT,Receipt Location,RPQ,75000,75000,1,74999,FLD     ,N,R,TX      ,WALLER,Houston Pipe Line Company LP,Y,T,-171,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
94,81526   ,WHARTON CO - ENTERPRISE TEXAS PIPELINE ,Receipt Location,RPQ,325000,300000,1,299999,FLD     ,Y,R,TX      ,WHARTON,Enterprise Texas Pipeline LLC,Y,T,-217,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
95,81560   ,EMER. SALE - LEWIS OPERATING,Delivery Location,DPQ,5000,5000,42,4958,FLD     ,Y,D,LA      ,BEAUREGARD,Lewis Operating Company,N,T,-7,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
96,81568   ,TEXAS GAS @ CENTERVILLE,Delivery Location,DPQ,235000,235000,1,234999,FLD     ,N,D,LA      ,ST MARY,"Texas Gas Transmission, LLC",Y,T,-133,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
97,81570   ,TURKEY CREEK - PETROLEUM FUELS,Receipt Location,RPQ,15000,15000,0,15000,FLD     ,N,R,TX      ,GOLIAD,Petroleum Fuels Co.,N,T,-287,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
98,81582   ,LAGLORIA - OUTLET - DCP OPERATING,Receipt Location,RPQ,115000,115000,0,115000,FLD     ,N,R,TX      ,JIM WELLS,"DCP Operating Company, LP",N,T,-401,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
99,81701   ,KINDER TOTAL MEASURED,Receipt Location,RPQ,600000,600000,1,599999,FLD     ,Y,R,LA      ,JEFFERSON DAVIS,"Tennessee Gas Pipeline Company, L.L.C.",Y,T,-21,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
100,81716   ,PATTERSON @ ANR,Delivery Location,DPQ,50000,0,0,0,FLD     ,Y,D,LA      ,ST MARY,ANR Pipeline Company,Y,T,-141,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
